OccupancyDateTime,PaidOccupancy,BlockfaceName,SideOfStreet,SourceElementKey,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,ParkingCategory,Location
12/15/2020 01:40:00 PM,2,S KING ST BETWEEN 7TH AVE S AND CANTON AL S,S,20846,120,3,Chinatown/ID,Core,Paid Parking,POINT (-122.32338342 47.5982855)
12/15/2020 08:34:00 AM,4,3RD AVE BETWEEN CEDAR ST AND CLAY ST,NE,72330,240,8,Belltown,North,Paid Parking,POINT (-122.34929965 47.61747412)
12/15/2020 11:21:00 AM,2,WESTERN AVE BETWEEN MARION ST AND MADISON ST,SW,13509,120,5,Commercial Core,Waterfront,Paid Parking,POINT (-122.33712127 47.60385671)
12/15/2020 03:16:00 PM,1,W JOHN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,68549,240,4,Uptown,Edge,Carpool Parking,POINT (-122.35741728 47.61983396)
12/15/2020 03:00:00 PM,0,MAYNARD AVE S BETWEEN S KING ST AND S WELLER ST,E,79678,120,4,Chinatown/ID,Core,Paid Parking,POINT (-122.32495913 47.59790356)
12/15/2020 06:30:00 PM,1,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,7997,120,5,Denny Triangle,South,Paid Parking,POINT (-122.33798426 47.61409047)
12/15/2020 06:46:00 PM,3,WESTERN AVE BETWEEN EAGLE ST AND BAY ST,SW,36125,240,16,Belltown,North,Paid Parking,POINT (-122.35538416 47.61733474)
12/15/2020 08:06:00 AM,5,EASTLAKE AVE E BETWEEN DENNY LOWER WAY AND STEWART ST,W,78069,600,16,South Lake Union,South,Paid Parking,POINT (-122.32925328 47.61913534)
12/15/2020 03:38:00 PM,0,MAYNARD AVE S BETWEEN S KING ST AND S WELLER ST,E,79678,120,4,Chinatown/ID,Core,Paid Parking,POINT (-122.32495913 47.59790356)
12/15/2020 05:41:00 PM,1,E UNION ST BETWEEN SENECA ST AND BROADWAY,N,14949,120,4,Pike-Pine,,Paid Parking,POINT (-122.3213099 47.61304161)
12/15/2020 04:15:00 PM,5,7TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,76102,120,8,Chinatown/ID,Edge,Paid Parking,POINT (-122.32363501 47.59958065)
12/15/2020 04:18:00 PM,0,TERRY AVE BETWEEN MARION ST AND MADISON ST,NE,58414,120,2,First Hill,,Paid Parking,POINT (-122.32583857 47.60855364)
12/15/2020 09:53:00 AM,0,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,E,9394,120,2,South Lake Union,South,Paid Parking,POINT (-122.33575104 47.62142529)
12/15/2020 05:37:00 PM,5,15TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,25041,240,8,University District,Edge,Paid Parking,POINT (-122.31206037 47.66219251)
12/15/2020 10:15:00 AM,3,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,N,58449,600,3,South Lake Union,South,Paid Parking,POINT (-122.33643178 47.62093462)
12/15/2020 06:03:00 PM,0,NE BOAT ST BETWEEN NE PACIFIC ST AND NE BOAT WR ST,E,117879,120,5,University District,Core,Paid Parking,POINT (-122.31740828 47.65343638)
12/15/2020 05:04:00 PM,1,1ST AVE BETWEEN WARREN PL AND BAY ST,SW,24049,240,8,Belltown,North,Paid Parking,POINT (-122.35468238 47.61809231)
12/15/2020 04:19:00 PM,2,E PIKE ST BETWEEN SUMMIT AVE AND BELMONT AVE,S,59954,120,3,Pike-Pine,,Paid Parking,POINT (-122.32499531 47.6140229)
12/14/2020 04:03:00 PM,1,ALDER ST BETWEEN TERRY AVE AND BROADWAY,NW,31541,120,4,First Hill,,Restricted Parking Zone,POINT (-122.32125908 47.60411979)
12/14/2020 07:52:00 PM,2,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,W,56150,120,10,Pike-Pine,,Paid Parking,POINT (-122.32221818 47.61467413)
12/14/2020 05:50:00 PM,4,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,NE,57194,240,9,Denny Triangle,North,Paid Parking,POINT (-122.3311435 47.61726292)
12/14/2020 03:26:00 PM,2,UNIVERSITY ST BETWEEN 4TH AVE AND 5TH AVE,SE,13190,120,3,Commercial Core,Retail,Paid Parking,POINT (-122.33422012 47.60838893)
12/14/2020 01:23:00 PM,1,13TH AVE BETWEEN E PIKE ST AND E PINE ST,W,1821,120,10,Pike-Pine,,Paid Parking,POINT (-122.31559256 47.6147267)
12/14/2020 12:34:00 PM,1,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,79790,120,9,South Lake Union,South,Restricted Parking Zone,POINT (-122.32980982 47.62423318)
12/14/2020 11:03:00 AM,2,WARREN AVE N BETWEEN MERCER ST AND ROY ST,E,36014,240,2,Uptown,Edge,Paid Parking,POINT (-122.35401396 47.62499475)
12/14/2020 07:31:00 PM,1,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,8098,120,5,Chinatown/ID,Edge,Paid Parking,POINT (-122.32626558 47.59961086)
12/14/2020 07:58:00 PM,1,SENECA ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,NW,12769,120,9,First Hill,,Restricted Parking Zone,POINT (-122.32371785 47.61199602)
12/14/2020 03:29:00 PM,2,SPRING ST BETWEEN BOYLSTON AVE AND HARVARD AVE,SE,35506,120,6,First Hill,,Paid Parking,POINT (-122.3218643 47.61163295)
12/14/2020 08:51:00 AM,2,NE 47TH ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,N,62097,120,5,University District,Core,Paid Parking,POINT (-122.31476166 47.66316448)
12/14/2020 06:37:00 PM,2,E PINE ST BETWEEN 12TH AVE AND 13TH AVE,N,37189,120,6,Pike-Pine,,Restricted Parking Zone,POINT (-122.3161558 47.61532903)
