Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
1025,12/14/2020 12:00:00 AM,12/16/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,163 Street Reduced to 1 Lane Each Way,163 Street NW,87 Avenue NW,88 Avenue NW,Travel Delays,2 Days,163 Street will be reduced to 1 lane each way. Use other routes.,Emergency Drainage Repair,Construction,Northwest,Road,POINT (-113.602814445736 53.522492588187)
1025,12/14/2020 12:00:00 AM,12/16/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,163 Street Reduced to 1 Lane Each Way,163 Street NW,87 Avenue NW,88 Avenue NW,Travel Delays,2 Days,163 Street will be reduced to 1 lane each way. Use other routes.,Emergency Drainage Repair,Construction,Northwest,Road,POINT (-113.60287861589 53.519522786178)
1026,12/14/2020 12:00:00 AM,12/16/2020 12:00:00 AM,12/23/2020 12:00:00 AM,Current,136 Street Total Closure,136 Street NW,102 Avenue NW,Stony Plain Road NW,Total Closure,Approx 1 Week,"136 St, Stony Plain Road to the alley South of Stony Plain Road will be totally closed to vehicle traffic starting Wed, Dec 16 for approx 1 week to accommodate West LRT related drainage construction. Detour using 135 St or 137 St.",WLRT Drainage Construction,Construction,Central,Road,POINT (-113.556319232959 53.543037555971)
995,11/30/2020 12:00:00 AM,12/07/2020 12:00:00 AM,12/23/2020 12:00:00 AM,Current,153 Av Reduced to 1 Lane WB,153 Avenue NW,73A Street NW,82 Street NW,Travel Delays,12 Days,153 Av will be reduced to 1 lane WB. The sidewalk on the North side from 82 St to 76 St will be closed. Pedestrians should use 154 Av or the sidewalk on the South side.,Sewer Repairs,Construction,Central,Road and Sidewalk,POINT (-113.454943890015 53.615854957605)
775,09/11/2020 12:00:00 AM,09/14/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Current,99 Street inside lane closures,99 Street,41 Avenue,Whitemud Drive,Travel Delays,4 months,"EPCOR Drainage will be doing drainage repairs on 99 St from 41 Ave to Whitemud Drive. Inside lanes of both north and south bound traffic will be closed. Starts Monday, September 14 until December 31.",Drainage repairs,Construction,Southeast,Road,POINT (-113.486094351409 53.480393045018)
1031,12/15/2020 12:00:00 AM,12/16/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,Utility repair,50 Street NW,98 Avenue NW,101 Avenue NW,Travel Delays,3 days,Off peak hour lane closures. South bound 50 street reduced to one lane at 98 avenue. West bound 98 avenue reduced to one lane through 50 street intersection.,Utility repair,Construction,Southeast,Road,POINT (-113.418530208434 53.537401814475)
775,09/11/2020 12:00:00 AM,09/14/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Current,99 Street inside lane closures,99 Street,41 Avenue,Whitemud Drive,Travel Delays,4 months,"EPCOR Drainage will be doing drainage repairs on 99 St from 41 Ave to Whitemud Drive. Inside lanes of both north and south bound traffic will be closed. Starts Monday, September 14 until December 31.",Drainage repairs,Construction,Southeast,Road,POINT (-113.486094058758 53.476460508428)
807,09/10/2020 12:00:00 AM,09/25/2020 12:00:00 AM,02/26/2021 12:00:00 AM,REVISED,119 Street Drainage Repair,119 Street NW,28 Avenue NW,Westbrook Drive NW,Increased Travel Time,Fri - Sun,"Traffic on 119 Street, 28 Ave NW to Westbrook Drive NW will be reduced to one lane in each direction.  Detour using 111 Street & Terwillegar Drive.",Drainage Tunnel Shaft Repair,Construction,Southwest,Road and Sidewalk,POINT (-113.538832175042 53.462120450945)
10,01/02/2020 12:00:00 AM,01/08/2018 12:00:00 AM,01/01/2021 12:00:00 AM,Current,102 Ave Closure,102 Avenue NW,96 Street NW,103 Street NW,Total Closure,Long Term Project,"102 Ave from 96 St - 103 St will be closed. Cross traffic at 97 St, 100 St, 101 St & 103 St will be maintained. Detour using Jasper Ave or 103A Ave",Valley Line LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.497407896705 53.543013110819)
1031,12/15/2020 12:00:00 AM,12/16/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,Utility repair,50 Street NW,98 Avenue NW,101 Avenue NW,Travel Delays,3 days,Off peak hour lane closures. South bound 50 street reduced to one lane at 98 avenue. West bound 98 avenue reduced to one lane through 50 street intersection.,Utility repair,Construction,Southeast,Road,POINT (-113.418552938621 53.541141283397)
