MAPID;NAME;CATEGORY1;CATEGORY2;ADDRESS;SHORT_DESCRIPTION;URL;URL2;URL3;Geom;Geo Local Area
GCP059;Trout Lake Community Crawl;City Studio Project;Access-to-Nature;Cedar Cottage;Spring 2012 City Studio Project - Tours of significant architectural, ecological and historical landmarks in the Cedar Cottage neighbourhood;http://citystudiovancouver.com/projects/parkstories/;;;"{""type"": ""Point"", ""coordinates"": [-123.0634937, 49.25315406]}";Kensington-Cedar Cottage
GCP063;Food stories;City Studio Project;Local-Food;1800 Spyglass Pl;Fall 2011 City Studio Project. Research on people's food stories.;http://citystudiovancouver.com/projects/mount-pleasant-food-stories/;;;"{""type"": ""Point"", ""coordinates"": [-123.1160336, 49.27015947]}";Fairview
GCP067;Parklets;City projects;Access-to-Nature;1032 Robson Street;Urban Pasture on Robson Street.  A permanent mini-park in the city.;http://vancouver.ca/streets-transportation/reducing-cars-on-city-streets.aspx;;http://www.vancitybuzz.com/2012/07/parklet-robson-street-urban-pasture-across-cafe-crepe/;"{""type"": ""Point"", ""coordinates"": [-123.1236545, 49.28379404]}";West End
GCP068;Parklets;City projects;Access-to-Nature;3010 Main Street;Parallel Park at Main and 14th. A permanent mini-park in the city.;http://vancouver.ca/streets-transportation/reducing-cars-on-city-streets.aspx;;http://www.vancitybuzz.com/2012/07/parklet-robson-street-urban-pasture-across-cafe-crepe/;"{""type"": ""Point"", ""coordinates"": [-123.1011457, 49.25829092]}";Mount Pleasant
GCP071;Habitat Island;City projects;Access-to-Nature;;Restoration of shoreline area in Southeast False Creek.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=241;;;"{""type"": ""Point"", ""coordinates"": [-123.110869, 49.272196]}";Mount Pleasant
GCP079;Community orchards;City projects;Local-Food;7800 Vivian St;At Fraserview Golf Course, 30 apple, pear and cherry trees near the 8th hole.;http://www.canada.com/story_print.html?id=72446201-1db7-41dd-b2be-ae7bb4609058&sponsor=;;http://vancouver.ca/parks-recreation-culture/fraserview-golf-course.aspx;"{""type"": ""Point"", ""coordinates"": [-123.0523383, 49.20869939]}";Killarney
GCP091;Community orchards;City projects;Local-Food;8705 Angus Dr;At Fraser River Park, 36 native crabapple trees.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=fac.parkdetails&park_id=92;;;"{""type"": ""Point"", ""coordinates"": [-123.1506625, 49.20737277]}";Kerrisdale
GCP102;Stanley Park Ecology Society;Greenest City Fund Project;Access-to-Nature;Stanley Park;2012 Greenest City Community grant fund project, for Stanley park restoration and replanting.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://stanleyparkecology.ca/education/nature-house/;"{""type"": ""Point"", ""coordinates"": [-123.1375866, 49.29449806]}";
GCP107;Eastside Movement for Business & Economi;Greenest City Fund Project;Green-Economy;310 - 111 West Hastings;2012 Greenest City Community grant fund project. Helping small-and medium sized businesses become more energy efficient.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://www.embersvancouver.com/;"{""type"": ""Point"", ""coordinates"": [-123.1073539, 49.28204147]}";Downtown
GCP115;Farmers Markets;Private projects;Local-Food;East Parking Lot of Nat Bailey Stadium - 30th & Ontario Street;Winter Farmers Market  Saturdays, November 3, 2012 - April 27, 2013.;http://www.eatlocal.org/;;;"{""type"": ""Point"", ""coordinates"": [-123.1066964, 49.24453072]}";Riley Park
GCP116;Farmers Markets;Private projects;Local-Food;Croatian Cultural Centre;Holiday Market  Saturday Only - December 14, 2013.;http://www.eatlocal.org/;;;"{""type"": ""Point"", ""coordinates"": [-123.0685412, 49.25548326]}";Kensington-Cedar Cottage
GCP117;Farmers Markets;Private projects;Local-Food;1100 Block Station Street along Thornton Park;Main Street Station at Thornton Park Wednesdays, June 5 - October 2, 2013.;http://www.eatlocal.org/;;;"{""type"": ""Point"", ""coordinates"": [-123.0993867, 49.27410352]}";Strathcona
GCP119;Farmers Markets;Private projects;Local-Food;North Parking Lot of John Hendry Park at Trout Lake;Trout Lake Farmers Market Saturdays, May 11 - October 19, 2013.;http://www.eatlocal.org/;;;"{""type"": ""Point"", ""coordinates"": [-123.0655945, 49.25509927]}";Kensington-Cedar Cottage
