YEAR,MONTH,MONTH_NUMBER,LICENSE_DATE,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,PET_TYPE,BREED,GENDER,SPAYED_OR_NEUTERED,LATITUDE,LONGITUDE,LOCATION,COUNT,Point Location
2020,April,4,04/04/2020 12:00:00 AM,Callingwood North,4070,Dog,GOLDEN RETRIEVER,Female,No,53.50759781965531,-113.62302473074156,"(53.50759781965531, -113.62302473074156)",1,POINT (-113.62302473074156 53.50759781965531)
2020,October,10,10/15/2020 12:00:00 AM,La Perle,4240,Dog,YORKSHIRE TERRIER,Male,Yes,53.53308754559413,-113.6407085980886,"(53.53308754559413, -113.6407085980886)",1,POINT (-113.6407085980886 53.53308754559413)
2020,July,7,07/13/2020 12:00:00 AM,Kirkness,2430,Cat,DEVON REX,Female,Yes,53.611416205013775,-113.38839885107339,"(53.611416205013775, -113.38839885107339)",1,POINT (-113.38839885107339 53.611416205013775)
2020,April,4,04/17/2020 12:00:00 AM,Prince Rupert,1170,Dog,SHIH TZU,Female,Yes,53.56459450201589,-113.52411765329595,"(53.56459450201589, -113.52411765329595)",1,POINT (-113.52411765329595 53.56459450201589)
2020,January,1,01/02/2020 12:00:00 AM,Chappelle Area,5462,Dog,LABRADOR RETRIEVER,Female,Yes,53.40291668024122,-113.5868447039775,"(53.40291668024122, -113.5868447039775)",1,POINT (-113.5868447039775 53.40291668024122)
2020,February,2,02/14/2020 12:00:00 AM,Northmount,2580,Dog,YORKSHIRE TERRIER,Female,Yes,53.60320534665628,-113.47962880481575,"(53.60320534665628, -113.47962880481575)",1,POINT (-113.47962880481575 53.60320534665628)
2019,December,12,12/06/2019 12:00:00 AM,Forest Heights,6230,Cat,DOMESTIC (SHORT HAIR),Female,Yes,53.544537072280974,-113.45125000606618,"(53.544537072280974, -113.45125000606618)",1,POINT (-113.45125000606618 53.544537072280974)
2020,February,2,02/18/2020 12:00:00 AM,Gold Bar,6270,Cat,DOMESTIC (SHORT HAIR),Female,Yes,53.54890801185152,-113.41200386839466,"(53.54890801185152, -113.41200386839466)",1,POINT (-113.41200386839466 53.54890801185152)
2020,March,3,03/19/2020 12:00:00 AM,Ambleside,5505,Cat,DOMESTIC (SHORT HAIR),Female,Yes,53.43064194460821,-113.60067666280382,"(53.43064194460821, -113.60067666280382)",1,POINT (-113.60067666280382 53.43064194460821)
2020,November,11,11/04/2020 12:00:00 AM,Hazeldean,6290,Cat,DOMESTIC (SHORT HAIR),Female,Yes,53.504205803712985,-113.47788889905675,"(53.504205803712985, -113.47788889905675)",1,POINT (-113.47788889905675 53.504205803712985)
2020,May,5,05/26/2020 12:00:00 AM,Kameyosek,6340,Dog,BEAGLE,Male,Yes,53.46191874301442,-113.44206793427637,"(53.46191874301442, -113.44206793427637)",1,POINT (-113.44206793427637 53.46191874301442)
2020,April,4,04/07/2020 12:00:00 AM,Minchau,6530,Dog,CROSSBREED (SMALL),Female,No,53.46982918280456,-113.41276586378572,"(53.46982918280456, -113.41276586378572)",1,POINT (-113.41276586378572 53.46982918280456)
2020,January,1,01/09/2020 12:00:00 AM,Downtown,1090,Cat,BALINESE (LONG HAIR),Male,Yes,53.5397665935903,-113.49942068339652,"(53.5397665935903, -113.49942068339652)",1,POINT (-113.49942068339652 53.5397665935903)
