Editing,Botanical Name,Common Name,DBH,Total Yearly Eco Benefits ($),Stormwater Benefits ($),Stormwater Gallons Saved,Greenhouse CO2 Benefits ($),CO2 Avoided (in lbs.),CO2 Sequestered (in lbs.),Energy Benefits ($),kWh Saved,Therms Saved,Air Quality Benefits ($),Pollutants Saved (in lbs.),Property Benefits ($),Leaf Surface Area (in sq. ft.),Address,Street,Side,Site,Council District,Park Name,Latitude,Longitude,Site ID,Location
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,WILLIAM ST,Side,1,ELLICOTT,0,42.8853727433556,-78.8519602737114,13586,"(42.8853727433556, -78.8519602737114)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,HAMBURG ST,Side,1,FILLMORE,0,42.8695471829313,-78.8591807483183,6557,"(42.8695471829313, -78.8591807483183)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,CAMBRIDGE AV,Front,1,MASTEN,0,42.9199630638193,-78.822581671723,22138,"(42.9199630638193, -78.822581671723)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,CHERRY ST,Front,1,ELLICOTT,0,42.8952960281847,-78.8584436759299,14994,"(42.8952960281847, -78.8584436759299)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,NORTHAMPTON ST,Rear,1,ELLICOTT,0,42.9081091676693,-78.8456151692863,3564,"(42.9081091676693, -78.8456151692863)"
Olmsted,MALUS SPP,CRABAPPLE,6,33.76,0.82,101.94,0.02,4.25,2.93,17.11,20.19,10.14,0.35,0.05,15.46,25.69,175,PARADE AVE NORTH,In_Lot,1,MASTEN,MLK JR.,42.9050773109577,-78.8363119217863,102270,"(42.9050773109577, -78.8363119217863)"
Buffalo,PLATANUS X ACERIFOLIA,LONDON PLANETREE,29,253.47,28.82,3602.72,2.43,468.09,317.87,117.3,189.92,64.41,20.08,3.16,84.83,140.99,75,GOEMBEL AV,Front,1,LOVEJOY,0,42.9067350180983,-78.8161855606774,41,"(42.9067350180983, -78.8161855606774)"
Buffalo,SYRINGA RETICULATA 'IVORY SILK',"LILAC, IVORY SILK",2,15.35,0.57,71.26,0.08,15.94,10.47,5.02,5.58,3.01,0.68,0.11,8.99,14.94,81,PARADE AVE EAST,Front,1,MASTEN,0,42.9056654073759,-78.8356956923024,23196,"(42.9056654073759, -78.8356956923024)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,SOUTHAMPTON ST,Front,1,ELLICOTT,0,42.9065932911057,-78.8579984079634,11094,"(42.9065932911057, -78.8579984079634)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,HAMPSHIRE ST,Side,1,NIAGARA,0,42.9148005813555,-78.8880817997764,108696,"(42.9148005813555, -78.8880817997764)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,BISSELL AV,Front,1,FILLMORE,0,42.9138858614289,-78.8233416316084,23330,"(42.9138858614289, -78.8233416316084)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,KRETTNER ST,Front,1,ELLICOTT,0,42.8902593287005,-78.8479522804561,8841,"(42.8902593287005, -78.8479522804561)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,PECK ST,Front,1,FILLMORE,0,42.8924902959183,-78.8226167921477,5256,"(42.8924902959183, -78.8226167921477)"
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",14,179.28,11.53,1441.34,1.33,262.55,187.58,65.74,106.53,36.09,9.26,1.58,91.42,151.94,216,BIDWELL PKWY,Median,1,DELAWARE,0,42.9248497777721,-78.8748565185921,46911,"(42.9248497777721, -78.8748565185921)"
Buffalo,PLATANUS X ACERIFOLIA,LONDON PLANETREE,33,280.69,34.28,4285,2.79,523.05,389.68,127.39,212.22,69.36,22.7,3.54,93.53,155.45,38,GOEMBEL AV,Front,1,FILLMORE,0,42.9056606084721,-78.8162757644312,1266,"(42.9056606084721, -78.8162757644312)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,OGDEN ST SOUTH,Front,1,LOVEJOY,0,42.8695848607082,-78.802031380785,89854,"(42.8695848607082, -78.802031380785)"
Buffalo,MALUS 'HARVEST GOLD',"CRABAPPLE, HARVEST GOLD",3,18.54,0.31,39.2,0.01,1.76,1.24,7.29,8.38,4.35,0.14,0.02,10.78,17.92,326,NORTHAMPTON ST,Front,1,ELLICOTT,0,42.9075084860802,-78.8549323715077,11046,"(42.9075084860802, -78.8549323715077)"
Buffalo,MAACKIA AMURENSIS,"MAACKIA, AMUR",2,55.35,0.24,30.61,0.01,0.75,1.02,3.16,3.58,1.89,0.06,0.01,51.88,86.22,218,NORTHAMPTON ST,Front,1,ELLICOTT,0,42.9075546805138,-78.85885278583,11667,"(42.9075546805138, -78.85885278583)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,MONROE ST,Front,1,ELLICOTT,0,42.8918865534453,-78.8518849847389,15087,"(42.8918865534453, -78.8518849847389)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,HICKORY ST,Front,1,ELLICOTT,0,42.8839186343814,-78.8586827520367,12965,"(42.8839186343814, -78.8586827520367)"
Buffalo,PLATANUS X ACERIFOLIA,LONDON PLANETREE,27,239.86,26.09,3261.58,2.25,440.61,281.96,112.26,178.77,61.94,18.78,2.97,80.48,133.76,21,LOEPERE ST,Front,1,FILLMORE,0,42.8948314915395,-78.8344759562155,17669,"(42.8948314915395, -78.8344759562155)"
