Index Number;Name;Address;Project Status;Occupancy Year;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;Clientele- Families;Clientele - Seniors;Clientele - Other;Operator;Local Area;URL;Geom
283;Three Links Plaza;7349 Rebekah Dr;Completed;1984;0;2;0;0;0;0;0;0;0;0;0;28;30;0;0;0;60;0;0;Affordable Housing Societies;Killarney;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=283;"{""type"": ""Point"", ""coordinates"": [-123.03881384, 49.2177027]}"
288;Coleopy Park-1989;5748 Rupert St;Completed;1991;0;2;2;0;0;0;0;0;0;0;36;8;8;2;0;0;22;36;0;Brightside Community Homes Foundation;Killarney;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=288;"{""type"": ""Point"", ""coordinates"": [-123.04269371, 49.23202084]}"
305;Strathcona Co-op;730 Union St;Completed;1975;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;7;0;0;Strathcona Co-op Housing Association;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=305;"{""type"": ""Point"", ""coordinates"": [-123.08921553, 49.27720434]}"
312;Penta Co-op;1707 Wallace St;Completed;1978;0;2;0;0;0;0;0;0;0;0;2;7;9;0;0;0;18;0;2;Penta Co-op Housing Association;West Point Grey;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=312;"{""type"": ""Point"", ""coordinates"": [-123.18996814, 49.27107928]}"
313;Steeves Manor;1985 Wallace St;Completed;1975;6;0;0;0;17;0;0;0;0;0;132;1;0;0;44;0;0;200;0;BC Housing;West Point Grey;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=313;"{""type"": ""Point"", ""coordinates"": [-123.19139629, 49.26946318]}"
320;Wilson Heights Manor;1602 E 41st Ave;Completed;1991;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;0;Brightside Community Homes Foundation;Victoria-Fraserview;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=320;"{""type"": ""Point"", ""coordinates"": [-123.07256746, 49.23238482]}"
326;Lions View - Building I;2950 Euclid Ave;Completed;1993;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;44;1;Brightside Community Homes Foundation;Renfrew-Collingwood;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=326;"{""type"": ""Point"", ""coordinates"": [-123.04369648, 49.24006198]}"
328;Anita Lewis Co-op;5003 Boundary Rd;Completed;1996;0;0;0;0;0;0;0;0;0;0;2;13;8;0;0;0;21;0;2;Anita Lewis Co-op Housing Association;Renfrew-Collingwood;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=328;"{""type"": ""Point"", ""coordinates"": [-123.02403574, 49.23928138]}"
330;Jim Green Residence;415 Alexander St;Completed;1996;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;66;Lookout Emergency Aid Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=330;"{""type"": ""Point"", ""coordinates"": [-123.09478791, 49.28426436]}"
332;United Native Nations;1818 E Pender St;Completed;1996;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10;Lu'Ma Native Housing Society;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=332;"{""type"": ""Point"", ""coordinates"": [-123.06765123, 49.2799856]}"
