Property Reference,Charge Type,Gross Charge,Supplement,Small Business Relief,Charity Relief,Exemption Relief,Discretionary Relief,Additional Relief,Supporting Small Business Relief,Start Date,End Date,Company Name,Address,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI,Socrata ID
UPRN01204007791995,Occupied,1413.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2014,31/03/2015,ROBIN PARTINGTON ARCHITECTS LTD,"CPS NO 3 R/O, 77-91 NEW OXFORD STREET, LONDON, WC1A 1DG",529990,181403,-0.127956,51.516603,Postcode Level,"(51.516603, -0.127956)",30/10/2020 11:09:16 AM,http://opendatacommunities.org/id/london-borough-council/camden,87213
UPRN00756020030069,Occupied,9470.32,0.00,0.00,0.00,0.00,150.00,0.00,0.00,01/04/2018,31/03/2019,MARYLEBONE MOTORS LIMITED,"126 CAMLEY STREET, LONDON, NW1 0PG",,,,,No spatial information available,,30/10/2020 11:11:19 AM,http://opendatacommunities.org/id/london-borough-council/camden,161992
UPRN01070000200019,Void (empty),3858.33,90.11,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2014,16/11/2014,ERA CHINA LTD,"1ST FLR, 2 WINDMILL STREET, LONDON, W1T 2HX",529540,181598,-0.134391,51.518457,Postcode Level,"(51.518457, -0.134391)",30/10/2020 11:09:11 AM,http://opendatacommunities.org/id/london-borough-council/camden,84434
UPRN00576025401166,Void (empty),168.65,4.41,0.00,0.00,173.06,0.00,0.00,0.00,01/08/2012,30/09/2012,CASTLE TRADING LIMITED,"FIRST FLOOR UNIT 116, 254-256 BELSIZE ROAD, LONDON, NW6 4BT",525515,183682,-0.191603,51.538096,Postcode Level,"(51.538096, -0.191603)",30/10/2020 11:08:16 AM,http://opendatacommunities.org/id/london-borough-council/camden,52189
UPRN00895017520106,Void (empty),63.18,1.12,0.00,0.00,64.30,0.00,0.00,0.00,27/03/2013,31/03/2013,THE OFFICE (KINGS CROSS) LIMITED,"ROOM 1.06 1ST FLR, 175-185 GRAYS INN ROAD, LONDON, WC1X 8UP",,,,,No spatial information available,,30/10/2020 11:08:22 AM,http://opendatacommunities.org/id/london-borough-council/camden,55772
UPRN99140700230044,Occupied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2020,,THE HONOURABLE SOCIETY OF LINCOLN'S INN,"4TH FLR ROOM 4, GRAYS INN CHAMBERS, GRAY'S INN, LONDON, WC1R 5JA",,,,,No spatial information available,,30/10/2020 11:12:52 AM,http://opendatacommunities.org/id/london-borough-council/camden,217540
UPRN0019500041889A,Occupied,5929.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2016,31/03/2017,SNIFFLES LIMITED,"GND F, 6 FLEET ROAD, LONDON, NW3 2QS",527743,185416,-0.158892,51.553177,Postcode Level,"(51.553177, -0.158892)",30/10/2020 11:10:03 AM,http://opendatacommunities.org/id/london-borough-council/camden,116028
UPRN01188003120204,Occupied,2507.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15/05/2017,31/03/2018,THE OFFICE (KIRBY) LTD,"ROOM 2.04 2ND FLR, 31-35 KIRBY STREET, LONDON, EC1N 8TE",531400,181809,-0.107495,51.519926,Postcode Level,"(51.519926, -0.107495)",30/10/2020 11:11:03 AM,http://opendatacommunities.org/id/london-borough-council/camden,152442
UPRN05118100020006,Occupied,126735.00,2082.50,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,31/03/2012,ARMONDI UK LTD,"ALPHA HOUSE, REGIS ROAD, LONDON, NW5 3EU",,,,,No spatial information available,,30/10/2020 11:07:40 AM,http://opendatacommunities.org/id/london-borough-council/camden,30899
UPRN00889044400005,Occupied,6170.05,0.00,0.00,0.00,0.00,150.00,0.00,0.00,01/04/2018,31/03/2019,THE STATION OFFICE NETWORK LLP,"RECEPTION & MANAGEMENT OFFICE, 1ST FLR EAST SIDE , KINGS CROSS STATION, EUSTON ROAD, LONDON, N1C 4AX",530270,183166,-0.123271,51.532382,Postcode Level,"(51.532382, -0.123271)",30/10/2020 11:11:21 AM,http://opendatacommunities.org/id/london-borough-council/camden,163378
UPRN01188002024068,Occupied,1619.51,0.00,0.00,0.00,0.00,24.25,0.00,0.00,01/02/2018,31/03/2018,HTC WOLFFKRAN LIMITED,"5TH FLR, 20-24 KIRBY STREET, LONDON, EC1N 8TS",531422,181844,-0.107191,51.520233,Postcode Level,"(51.520233, -0.107191)",30/10/2020 11:11:11 AM,http://opendatacommunities.org/id/london-borough-council/camden,157032
UPRN01175001610116,Occupied,2245.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2020,,NINECOURT LIMITED,"INTERVIEW ROOM 1ST FLR, 16 HIGH HOLBORN, LONDON, WC1V 6BX",531066,181642,-0.112394,51.518501,Postcode Level,"(51.518501, -0.112394)",30/10/2020 11:12:44 AM,http://opendatacommunities.org/id/london-borough-council/camden,213596
