VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
5YJ3E1EB0L,King,FALL CITY,WA,98024,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,5,6173331,POINT (-121.84461600000002 47.592152)
5YJYGDEE0L,Snohomish,BOTHELL,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,1,113259303,POINT (-122.21210499999998 47.792368)
5YJXCBE24M,King,SEATTLE,WA,98103,2021,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,131441390,POINT (-122.343577 47.672491)
1N4BZ1CP8L,King,RENTON,WA,98056,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,116858465,POINT (-122.183961 47.510245)
5YJ3E1EB4L,Thurston,OLYMPIA,WA,98502,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,22,2177206,POINT (-122.97996899999998 47.078241)
5YJSA1E29K,King,MAPLE VALLEY,WA,98038,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,79000,5,477773327,POINT (-122.02812000000002 47.393554)
3FA6P0PU2F,King,SEATTLE,WA,98104,2015,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,34800,43,109252517,POINT (-122.32861100000001 47.602601)
5YJYGDEE0L,King,NEWCASTLE,WA,98059,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,41,108168924,POINT (-122.132064 47.494834)
JTDKN3DP6D,King,SEATTLE,WA,98117,2013,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,32000,36,104848586,POINT (-122.379354 47.687571)
5YJSA1H20F,King,MERCER ISLAND,WA,98040,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,141344101,POINT (-122.227947 47.565443)
1N4BZ1CP6K,Pierce,PUYALLUP,WA,98371,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,25,9112295,POINT (-122.320103 47.197193)
5YJ3E1EB3K,King,SEATTLE,WA,98144,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,37,477049037,POINT (-122.30033 47.585339)
JTDKARFP1H,Kitsap,POULSBO,WA,98370,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27100,23,241833770,POINT (-122.63339300000001 47.748427)
5YJ3E1EA1J,Snohomish,SNOHOMISH,WA,98296,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,1,338260324,POINT (-122.10812000000001 47.838517)
KNDCM3LD8L,King,SEATTLE,WA,98122,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,29490,37,122330113,POINT (-122.303413 47.61065)
KNDCC3LC0K,Cowlitz,KELSO,WA,98626,2019,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,28500,19,151092868,POINT (-122.85558500000002 46.143079)
1FADP5EU0H,King,SEATTLE,WA,98104,2017,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,27120,43,170183562,POINT (-122.32861100000001 47.602601)
JN1AZ0CP4C,Clark,VANCOUVER,WA,98661,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,49,229359504,POINT (-122.62505 45.640901)
2C4RC1N75K,King,REDMOND,WA,98053,2019,CHRYSLER,PACIFICA HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,45,249136072,POINT (-122.024951 47.670286)
WA1VABGE5K,King,SEATTLE,WA,98101,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,74800,43,102804460,POINT (-122.334341 47.611423)
1N4BZ0CP4H,Kitsap,POULSBO,WA,98370,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,23,137785364,POINT (-122.63339300000001 47.748427)
1N4AZ1CP4J,Spokane,SPOKANE VALLEY,WA,99216,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,4,148837902,POINT (-117.21431000000001 47.670727)
3FA6P0PU3F,Island,OAK HARBOR,WA,98277,2015,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,34800,10,191989689,POINT (-122.63841000000001 48.310313)
3C3CFFGE2D,King,SEATTLE,WA,98117,2013,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,36,121383741,POINT (-122.379354 47.687571)
5YJYGDEF8L,King,SEATTLE,WA,98106,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,34,111650745,POINT (-122.35495400000002 47.537664)
1FADP5CU1F,Thurston,OLYMPIA,WA,98506,2015,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31770,22,246669986,POINT (-122.86836 47.085951)
5YJ3E1EB8L,Pierce,TACOMA,WA,98445,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,29,104417456,POINT (-122.41101000000002 47.139771)
1N4AZ0CP7D,Chelan,MANSON,WA,98831,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,12,229699277,POINT (-120.126821 47.921509)
1G1RB6E47C,King,SEATTLE,WA,98115,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,39145,43,258209010,POINT (-122.297534 47.685291)
5YJ3E1EA9J,King,REDMOND,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,48,475465924,POINT (-122.122018 47.678465)
1N4BZ0CP4H,Snohomish,BOTHELL,WA,98021,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,1,205785940,POINT (-122.21210499999998 47.792368)
5YJXCBE25H,King,MEDINA,WA,98039,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,82500,48,349981649,POINT (-122.23458900000001 47.626443)
1G1FW6S06H,Clark,VANCOUVER,WA,98686,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,49,200495634,POINT (-122.62873500000002 45.715902)
5YJ3E1EB2J,Pierce,GIG HARBOR,WA,98332,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,26,474006403,POINT (-122.59945399999998 47.36582)
