CRASH_ID,CRASH_DATE,CRASH_TIME,SUBURB_LOCATION,LONGITUDE,LATITUDE,INTERSECTION,MIDBLOCK,CRASH_DIRECTION,CRASH_SEVERITY,LIGHTING_CONDITION,ROAD_CONDITION,WEATHER_CONDITION,Location
1210554,26/06/2019,17:40,HARRISON,149.12440663898437,-35.30749542682909,YES,NO,North bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
1211119,05/07/2019,14:00,GREENWAY,149.07788761145457,-35.423773556346674,YES,NO,North / East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.423773556346674, 149.07788761145457)"
1213719,17/08/2019,11:20,HOLT,149.02256019278724,-35.219811483504046,NO,YES,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.219811483504046, 149.02256019278724)"
1211075,15/07/2019,16:00,RURAL - TUGGERANONG,149.1513618862368,-35.500016906591846,NO,YES,South bound,Injury,Daylight,Good dry surface,Fine,"(-35.500016906591846, 149.1513618862368)"
1211127,06/07/2019,16:05,YARRALUMLA,149.09920744615033,-35.30793138517919,YES,NO,South / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.30793138517919, 149.09920744615033)"
1210777,03/07/2019,14:10,PARKES,149.13469861397604,-35.28676524412199,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.28676524412199, 149.13469861397604)"
1213741,19/08/2019,16:00,CURTIN,149.08639402787506,-35.32624468610912,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.32624468610912, 149.08639402787506)"
1211081,16/07/2019,15:45,DICKSON,149.13985025174168,-35.25713531843377,NO,YES,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.25713531843377, 149.13985025174168)"
1210560,05/07/2019,09:30,PHILLIP,149.12440663898437,-35.30749542682909,YES,NO,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
1211115,23/05/2019,12:16,GREENWAY,149.07198444008907,-35.42172193659678,NO,YES,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.42172193659678, 149.07198444008907)"
1211146,18/07/2019,09:10,RURAL - TUGGERANONG,149.1511185822393,-35.399015855548704,NO,YES,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.399015855548704, 149.1511185822393)"
1213075,07/08/2019,07:20,GUNGAHLIN,149.12859152526116,-35.18449573200559,YES,NO,East / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.18449573200559, 149.12859152526116)"
1211149,18/07/2019,16:20,HUME,149.16720077060558,-35.388199058872175,NO,YES,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.388199058872175, 149.16720077060558)"
1213809,24/08/2019,10:02,RED HILL,149.12714659121298,-35.34700360986726,YES,NO,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.34700360986726, 149.12714659121298)"
1213806,07/08/2019,08:05,AINSLIE,149.1417170928686,-35.25646635489406,YES,NO,East / West bound,Injury,Daylight,Good dry surface,Fine,"(-35.25646635489406, 149.1417170928686)"
1211077,16/07/2019,07:50,RURAL - CANBERRA CENTRAL,149.08938366133077,-35.25757581206187,NO,YES,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.25757581206187, 149.08938366133077)"
1211138,08/07/2019,15:30,HOLT,149.01762889346145,-35.219649688329895,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.219649688329895, 149.01762889346145)"
1211132,07/07/2019,14:30,FYSHWICK,149.17796438687404,-35.33539838898488,YES,NO,Unknown,Property Damage Only,Daylight,Wet surface,Fine,"(-35.33539838898488, 149.17796438687404)"
1211139,08/07/2019,16:45,BELCONNEN,149.06273828049032,-35.24117851349636,NO,YES,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.24117851349636, 149.06273828049032)"
1211124,05/07/2019,18:05,LYONS,149.08291710859584,-35.34851675610174,NO,YES,East bound,Property Damage Only,Dark - good street lighting,Wet surface,Fine,"(-35.34851675610174, 149.08291710859584)"
1210748,01/07/2019,08:30,NGUNNAWAL,149.1026657692625,-35.15964324339392,YES,NO,South / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.15964324339392, 149.1026657692625)"
1210981,17/07/2019,17:20,PIALLIGO,149.17735700078416,-35.30231422538868,NO,YES,West bound,Property Damage Only,Semi-darkness,Good dry surface,Fine,"(-35.30231422538868, 149.17735700078416)"
1211078,16/07/2019,08:01,WESTON,149.0684407102019,-35.34827238476023,YES,NO,East bound,Injury,Daylight,Good dry surface,Fine,"(-35.34827238476023, 149.0684407102019)"
1211071,06/07/2019,10:45,GREENWAY,149.07457790347792,-35.41560115850141,YES,NO,North / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.41560115850141, 149.07457790347792)"
1210736,29/06/2019,00:24,CITY,149.12440663898437,-35.30749542682909,NO,YES,South bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
1213725,18/08/2019,19:00,CHISHOLM,149.12358169775726,-35.424342897993974,YES,NO,West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.424342897993974, 149.12358169775726)"
1211134,08/07/2019,12:20,PHILLIP,149.08999044417197,-35.3487465522133,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.3487465522133, 149.08999044417197)"
1211122,05/07/2019,16:20,RURAL - GUNGAHLIN,149.13071684724687,-35.2185076139325,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.2185076139325, 149.13071684724687)"
1210557,18/05/2019,18:30,CONDER,149.09837403560448,-35.46023315757139,YES,NO,South / West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.46023315757139, 149.09837403560448)"
1210766,02/07/2019,12:30,LYNEHAM,149.13383784424906,-35.248579643650096,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.248579643650096, 149.13383784424906)"
1211143,17/07/2019,17:15,RURAL - STROMLO,149.00742318201537,-35.33445258691148,NO,YES,East bound,Property Damage Only,Semi-darkness,Good dry surface,Fine,"(-35.33445258691148, 149.00742318201537)"
1211131,07/07/2019,09:57,GUNGAHLIN,149.1326527437312,-35.18405905323626,YES,NO,North / East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.18405905323626, 149.1326527437312)"
1231330,28/07/2020,18:30,TURNER,149.12953742290154,-35.27524335670561,NO,YES,North bound,Injury,Dark - good street lighting,Good dry surface,Fine,"(-35.27524335670561, 149.12953742290154)"
1219424,20/11/2019,08:20,CURTIN,149.0866360164888,-35.32629860606031,YES,NO,North / East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.32629860606031, 149.0866360164888)"
1212583,07/08/2019,12:48,DEAKIN,149.10748253129228,-35.31380111122022,NO,YES,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.31380111122022, 149.10748253129228)"
1213734,19/08/2019,11:10,FORREST,149.12605189631225,-35.31241468933669,YES,NO,North bound,Property Damage Only,Daylight,Wet surface,Fine,"(-35.31241468933669, 149.12605189631225)"
1210956,04/07/2019,22:55,KAMBAH,149.12440663898437,-35.30749542682909,YES,NO,South bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
