Owner,Common Name,Scientific Name,Park,Number of Stems,Trunk Diameter (cm),Date Installed,Memorial Tree,GeoJSON,Lat/Long
Municipal,Serviceberry,Amelanchier species,Compton Park,1,5.0,2016-11-23T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.51128690596748, 44.23529834571635]}","44.2352983457,-76.511286906"
Municipal,Bur Oak,Quercus macrocarpa,Runnymede Park,1,10.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53247707299994, 44.23661312100006]}","44.236613121,-76.532477073"
Municipal,Sugar Maple,Acer saccharum,,1,43.0,,,"{""type"": ""Point"", ""coordinates"": [-76.54758575399995, 44.253934353000034]}","44.253934353,-76.547585754"
Municipal,Norway Maple,Acer platanoides,,1,14.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57860392599997, 44.269646445000035]}","44.269646445,-76.578603926"
Municipal,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',MacDonald/Memorial Park,1,5.0,2017-09-26T06:00:00+02:00,Yes,"{""type"": ""Point"", ""coordinates"": [-76.48944325733491, 44.22208233752145]}","44.2220823375,-76.4894432573"
Municipal,American Basswood,Tilia americana,,1,5.0,2017-10-04T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.52437088272757, 44.23676638359044]}","44.2367663836,-76.5243708827"
Municipal,Sugar Maple,Acer saccharum,Woodbine Park,1,4.0,2016-06-30T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.6046543978868, 44.25798351414898]}","44.2579835141,-76.6046543979"
Municipal,Red Maple,Acer rubrum,,1,7.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51563293699996, 44.23146009200008]}","44.231460092,-76.515632937"
Municipal,Norway Maple,Acer platanoides,,1,4.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55372668299998, 44.25372586000003]}","44.25372586,-76.553726683"
Municipal,Kentucky Coffeetree,Gymnocladus dioicus,Woodbine Park,1,3.0,2016-06-30T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.60081448040586, 44.26164925568202]}","44.2616492557,-76.6008144804"
Municipal,Silver Maple,Acer saccharinum,,1,30.0,,,"{""type"": ""Point"", ""coordinates"": [-76.31258966099995, 44.29379002500008]}","44.293790025,-76.312589661"
Municipal,Freeman Maple,Acer x freemanii,,1,9.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55830945799994, 44.26489815600007]}","44.264898156,-76.558309458"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60340432599997, 44.25934331900004]}","44.259343319,-76.603404326"
Municipal,Norway Maple,Acer platanoides,,1,39.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51444820299997, 44.233611635000045]}","44.233611635,-76.514448203"
Municipal,Norway Maple,Acer platanoides,,1,40.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59451213599993, 44.23317083100005]}","44.233170831,-76.594512136"
Municipal,Maidenhair Tree,Ginkgo biloba,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52328423299997, 44.237376641000026]}","44.237376641,-76.523284233"
Municipal,Norway Maple,Acer platanoides,,1,27.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49067064399998, 44.23356016300005]}","44.233560163,-76.490670644"
Municipal,Silver Maple,Acer saccharinum,,1,94.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48806003999994, 44.22350770000003]}","44.2235077,-76.48806004"
Municipal,White Oak,Quercus alba,Bert Meunier Common,1,4.0,,,"{""type"": ""Point"", ""coordinates"": [-76.5540053230492, 44.26476849712829]}","44.2647684971,-76.554005323"
Municipal,Crabapple Species,Malus crabapple Species,,1,13.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52541209899994, 44.24937435900006]}","44.249374359,-76.525412099"
Municipal,Sunburst Honey-Locust,Gleditsia triacanthos var. inermis 'Sunburst',,1,5.0,2019-12-11T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.59889010881848, 44.23730748584065]}","44.2373074858,-76.5988901088"
Municipal,Norway Maple,Acer platanoides,,1,16.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58273031499994, 44.27059767800006]}","44.270597678,-76.582730315"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,25.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52988738599998, 44.24254651200005]}","44.242546512,-76.529887386"
Municipal,Street Keeper Honey-Locust,Gleditsia triacanthos var. inermis 'Draves',,1,5.0,2017-09-27T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.48670886291531, 44.22350973592865]}","44.2235097359,-76.4867088629"
Municipal,Sugar Maple,Acer saccharum,,1,20.0,,,"{""type"": ""Point"", ""coordinates"": [-76.40577573299998, 44.24710976100005]}","44.247109761,-76.405775733"
Municipal,Eastern Redcedar,Juniperus virginiana L.,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59627980599998, 44.236073033000025]}","44.236073033,-76.596279806"
Municipal,Littleleaf Linden,Tilia cordata,,1,8.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44763629799996, 44.26327300400004]}","44.263273004,-76.447636298"
Municipal,Boxelder,Acer negundo,,5,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44082008499998, 44.26085889700005]}","44.260858897,-76.440820085"
Municipal,Prospector Elm,Ulmus wilsoniana 'Prospector',,1,4.0,2017-04-19T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.51770866483125, 44.230856909457806]}","44.2308569095,-76.5177086648"
Municipal,Japanese Tree Lilac,Syringa reticulata,,1,4.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49951836099996, 44.249361830000055]}","44.24936183,-76.499518361"
Municipal,Amur Corktree,Phellodendron amurense,,1,7.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50446685499998, 44.256938182000056]}","44.256938182,-76.504466855"
Municipal,Japanese Tree Lilac,Syringa reticulata,,1,12.0,,,"{""type"": ""Point"", ""coordinates"": [-76.47777442299997, 44.27247295700005]}","44.272472957,-76.477774423"
Municipal,American Elm,Ulmus americana,Woodlands Park,2,25.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52269365299998, 44.227475826000045]}","44.227475826,-76.522693653"
Municipal,Sugar Maple,Acer saccharum,Hudson Park,1,5.0,2019-12-10T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.58486335618583, 44.24442146838634]}","44.2444214684,-76.5848633562"
Municipal,Red Maple,Acer rubrum,,1,25.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50382139799996, 44.25585691400005]}","44.255856914,-76.503821398"
Municipal,Cherry Species,Prunus species,Artillery Park,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48474062452281, 44.234013376656314]}","44.2340133767,-76.4847406245"
Municipal,Sugar Maple,Acer saccharum,Hudson Park,1,5.0,2018-04-23T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.58496423898414, 44.244179797933164]}","44.2441797979,-76.584964239"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,44.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48505565999994, 44.22995115900005]}","44.229951159,-76.48505566"
Municipal,Maidenhair Tree,Ginkgo biloba,,1,20.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52004327499998, 44.23627595000005]}","44.23627595,-76.520043275"
Municipal,Japanese Tree Lilac,Syringa reticulata,,1,9.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52276241799996, 44.25715301500003]}","44.257153015,-76.522762418"
Municipal,Blue Spruce,Picea pungens,,1,37.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50974347299996, 44.22818334200008]}","44.228183342,-76.509743473"
Municipal,Crabapple Species,Malus crabapple Species,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58446029029533, 44.266789239882215]}","44.2667892399,-76.5844602903"
Municipal,Scotch Pine,Pinus sylvestris,,1,27.0,,,"{""type"": ""Point"", ""coordinates"": [-76.62614744499996, 44.23373521700006]}","44.233735217,-76.626147445"
Municipal,Paper Birch,Betula papyrifera,,3,20.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60365698799995, 44.24810232200008]}","44.248102322,-76.603656988"
