Intersection-Leg,Description,Start Date,Days,AWDT,EB Peak AM Hour,EB Peak AM Volume,EB Peak PM Hour,EB Peak PM Volume,WB Peak AM Hour,WB Peak AM Volume,WB Peak PM Hour,WB Peak PM Volume,NB Peak AM Hour,NB Peak AM Volume,NB Peak PM Hour,NB Peak PM Volume,SB Peak AM Hour,SB Peak AM Volume,SB Peak PM Hour,SB Peak PM Volume,Location
055S-187A-S,187th Ave NE south of NE 55th St,02/03/2015,3,1978,,,,,,,,,7:00 AM,105,5:00 PM,138,9:00 AM,88,3:00 PM,110,"(47.656825, -122.08911)"
051S-156A-W,NE 51st St west of 156th Ave NE,09/25/2012,3,6488,9:00 AM,358,5:00 PM,388,9:00 AM,254,5:00 PM,583,,,,,,,,,"(47.654095, -122.133564)"
REDW-148A-S,148th Ave NE south of Redmond Way,11/18/2014,3,20478,,,,,,,,,11:00 AM,480,5:00 PM,1447,9:00 AM,1239,5:00 PM,611,"(47.673833, -122.143018)"
CLES-LEAW-S,Leary Way south of Cleveland St,11/15/2011,3,6384,,,,,,,,,8:00 AM,500,1:00 PM,245,11:00 AM,166,4:00 PM,228,"(47.673098, -122.123326)"
WLSP-BRR-E,West Lake Sammamish Pkwy east of Bel-Red Rd,07/09/1996,3,9738,11:00 AM,214,5:00 PM,542,7:00 AM,434,5:00 PM,411,,,,,,,,,"(47.650734, -122.11599)"
UHR-AVR-W,Union Hill Rd west of Avondale Rd,03/13/2000,3,10987,7:00 AM,374,3:00 PM,499,8:00 AM,423,12:00 PM,429,,,,,,,,,"(47.674887, -122.106579)"
024S-156A-E,NE 24th St east of 156th Ave NE,10/29/2013,3,12196,11:00 AM,338,5:00 PM,694,8:00 AM,688,3:00 PM,479,,,,,,,,,"(47.631577, -122.1311)"
085S-160A-W,NE 85th St west of 160th Ave NE,11/04/2014,3,13044,11:00 AM,295,5:00 PM,651,9:00 AM,798,1:00 PM,581,,,,,,,,,"(47.678544, -122.128132)"
076S-180A-W,NE 76th St west of 178th Pl NE and 180th Ave NE,09/17/2013,3,9370,11:00 AM,349,4:00 PM,591,8:00 AM,574,4:00 PM,480,,,,,,,,,"(47.671676, -122.103036)"
CLES-LEAW-S,Leary Way south of Cleveland St,11/11/2014,3,8159,,,,,,,,,7:00 AM,168,4:00 PM,503,7:00 AM,468,4:00 PM,259,"(47.673098, -122.123326)"
