_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
151,150,331,St Louis,11 Morgan Ave,Etobicoke,M8Y 2Z7,E,Open,"{u'type': u'Point', u'coordinates': (-79.5009553836, 43.6257451247)}"
152,151,370,St Luigi,2 Ruskin Ave,former Toronto,M6P 3P8,E,Open,"{u'type': u'Point', u'coordinates': (-79.4514701139, 43.6628755819)}"
153,152,336,St Malachy,80 Bennett Rd,Scarborough,M1E 3Y3,E,Open,"{u'type': u'Point', u'coordinates': (-79.1666344277, 43.7710204341)}"
154,153,311,St Marcellus,15 Denfield St,Etobicoke,M9R 3H2,E,Open,"{u'type': u'Point', u'coordinates': (-79.5542249529, 43.6797919364)}"
155,154,249,St Margaret,85 Carmichael Ave,North York,M5M 2X1,E,Open,"{u'type': u'Point', u'coordinates': (-79.4266255653, 43.7358292686)}"
156,155,381,St Marguerite Bourgeoys,75 Alexmuir Blvd,Scarborough,M1V 1H6,E,Open,"{u'type': u'Point', u'coordinates': (-79.2850919491, 43.8082306631)}"
157,156,260,St Maria Goretti,21 Kenmark Blvd,Scarborough,M1K 3N8,E,Open,"{u'type': u'Point', u'coordinates': (-79.2659221068, 43.7298353181)}"
158,157,332,St Mark,45 Cloverhill Rd,Etobicoke,M8Y 1T4,E,Open,"{u'type': u'Point', u'coordinates': (-79.4901975063, 43.6344998506)}"
159,158,344,St Martha,1865 Sheppard Ave W,North York,M3L 1Y5,E,Open,"{u'type': u'Point', u'coordinates': (-79.5023246555, 43.741068005)}"
160,159,286,St Martin De Porres,230 Morningside Ave,Scarborough,M1E 3E1,E,Open,"{u'type': u'Point', u'coordinates': (-79.1868218108, 43.7671285852)}"
161,160,205,St Mary,20 Portugal Sq,former Toronto,M6J 3P2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4046349661, 43.645843806)}"
162,161,528,St Mary Catholic Academy,66 Dufferin Park Ave,former Toronto,M6H 1J6,S,Open,"{u'type': u'Point', u'coordinates': (-79.4321542871, 43.6577935997)}"
163,162,228,St Mary of the Angels,1477 Dufferin St,former Toronto,M6H 4C7,E,Open,"{u'type': u'Point', u'coordinates': (-79.440292705, 43.6721188639)}"
164,163,240,St Matthew,18 Lavender Rd,York,M6N 2B5,E,Open,"{u'type': u'Point', u'coordinates': (-79.4679428694, 43.6806702346)}"
165,164,357,St Matthias,101 Van Horne Ave,North York,M2J 2S8,E,Open,"{u'type': u'Point', u'coordinates': (-79.3594556324, 43.784890225)}"
166,165,379,St Maurice,45 Kingsview Blvd,Etobicoke,M9R 1T7,E,Open,"{u'type': u'Point', u'coordinates': (-79.5539328681, 43.6978127589)}"
167,166,412,St Maximilian Kolbe,100 Fundy Bay Blvd,Scarborough,M1W 3G1,ADM,Open,"{u'type': u'Point', u'coordinates': (-79.3166033667, 43.8093505389)}"
168,167,217,St Michael Choir Jr,66 Bond St,former Toronto,M5B 1X2,E,Open,"{u'type': u'Point', u'coordinates': (-79.378077078, 43.6550645831)}"
169,168,518,St Michael Choir Sr,67 Bond St,former Toronto,M5B 1X5,S,Open,"{u'type': u'Point', u'coordinates': (-79.3776872581, 43.655445743)}"
170,169,387,St Michael,50 George St S,former Toronto,M5A 4B2,E,Open,"{u'type': u'Point', u'coordinates': (-79.3696197131, 43.6478694115)}"
171,170,224,St Monica,14 Broadway Ave,former Toronto,M4P 1T4,E,Open,"{u'type': u'Point', u'coordinates': (-79.3976277049, 43.7101592754)}"
172,171,538,St Mother Teresa Catholic Academy,40 Sewell's Rd,Scarborough,M1B 3G5,S,Open,"{u'type': u'Point', u'coordinates': (-79.2148297686, 43.8096587992)}"
173,172,308,St Nicholas,33 Amarillo Dr,Scarborough,M1J 2P7,E,Open,"{u'type': u'Point', u'coordinates': (-79.2328554942, 43.7476437899)}"
174,173,355,St Nicholas of Bari,363 Rogers Rd,York,M6E 1R6,E,Open,"{u'type': u'Point', u'coordinates': (-79.4604931992, 43.6828243739)}"
175,174,309,St Norbert,60 Maniza Rd,North York,M3K 1R6,E,Open,"{u'type': u'Point', u'coordinates': (-79.4645000391, 43.7341002945)}"
176,175,283,St Paschal Baylon,15 St Paschal Crt,North York,M2M 1X6,E,Open,"{u'type': u'Point', u'coordinates': (-79.4313218881, 43.7922006899)}"
177,176,546,St Patrick,49 Felstead Ave,former Toronto,M4J 1G3,S,Open,"{u'type': u'Point', u'coordinates': (-79.3280036406, 43.678450322)}"
178,177,204,St Paul,80 Sackville St,former Toronto,M5A 3E5,E,Open,"{u'type': u'Point', u'coordinates': (-79.3617341875, 43.6554889408)}"
