DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
190124557,10/07/2019,10/07/2019,1505,01,Central,0112,997,TRAFFIC COLLISION,0605 3101 3401 3701 0947 3003 3025 3036,30,M,H,101,STREET,TEMPLE                       ST,MAIN                         ST,"(34.0534, -118.2409)"
190911867,06/05/2019,06/05/2019,2140,09,Van Nuys,0932,997,TRAFFIC COLLISION,3004 3037 3038 3026 3029 3101 3401 3701 4026,49,M,H,101,STREET,14700    ERWIN                        ST,,"(34.1839, -118.4605)"
190115813,06/13/2019,06/12/2019,1850,01,Central,0123,997,TRAFFIC COLLISION,0605 3101 3401 3701 4001 3004 3026 3036,45,M,A,101,STREET,W  TEMPLE                       ST,N  HILL                         ST,"(34.0565, -118.2445)"
190124558,10/07/2019,10/07/2019,1700,01,Central,0155,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3030 3034,36,M,B,101,STREET,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)"
190124567,10/08/2019,10/07/2019,2000,01,Central,0111,997,TRAFFIC COLLISION,0605 3102 3401 3701 3004 3030 3032,21,M,W,108,PARKING LOT,FIGUEROA                     ST,SUNSET                       BL,"(34.0627, -118.2463)"
190115559,05/31/2019,05/30/2019,1700,01,Central,0139,997,TRAFFIC COLLISION,0605 3101 3401 3701 3006 3030,26,M,B,101,STREET,AVERY,TRACTION,"(34.0447, -118.2349)"
190410692,06/05/2019,06/05/2019,1605,04,Hollenbeck,0408,997,TRAFFIC COLLISION,0605 3101 3401 3701 4004 3030 3032,44,F,X,101,STREET,4900    HUNTINGTON                   DR,,"(34.0887, -118.1785)"
191512527,06/15/2019,06/15/2019,1230,15,N Hollywood,1591,997,TRAFFIC COLLISION,1402,18,M,W,102,SIDEWALK,VENTURA                      BL,LANKERSHIM                   BL,"(34.1325, -118.3974)"
191111677,06/07/2019,06/07/2019,1150,11,Northeast,1118,997,TRAFFIC COLLISION,0605 3101 3401 3701 4024 3026 3036 3004,25,M,B,101,STREET,NOLDEN,YORK,"(34.1191, -118.1952)"
191215714,06/10/2019,06/10/2019,0110,12,77th Street,1243,997,TRAFFIC COLLISION,4025 3004 3026 3036 3101,43,M,B,101,STREET,WESTERN                      AV,66TH                         AV,"(33.9791, -118.309)"
