StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:53:00 AM,4128127,41.36,42.83
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:51:00 AM,4197540,39.99,43.78
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:52:00 AM,4197541,40.01,43.79
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:53:00 AM,4197542,40.03,43.80
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:54:00 AM,4128128,41.36,42.82
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:54:00 AM,4197543,40.05,43.80
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:55:00 AM,4128129,41.37,42.81
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:55:00 AM,4197544,40.06,43.80
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:56:00 AM,4128130,41.38,42.80
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:56:00 AM,4197545,40.07,43.80
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:57:00 AM,4128131,41.40,42.87
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:57:00 AM,4197546,40.10,43.80
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:58:00 AM,4128132,41.40,42.92
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:58:00 AM,4197547,40.11,43.80
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:59:00 AM,4128133,41.40,42.94
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:59:00 AM,4197548,40.12,43.80
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:46:00 AM,4157620,40.45,43.61
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 08:00:00 AM,4128134,41.40,42.95
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 08:00:00 AM,4197549,40.13,43.80
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:47:00 AM,4157621,40.47,43.61
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:48:00 AM,4157622,40.50,43.60
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:49:00 AM,4157623,40.52,43.55
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:50:00 AM,4157624,40.54,43.55
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:51:00 AM,4157625,40.56,43.54
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:52:00 AM,4157626,40.57,43.53
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:53:00 AM,4157627,40.58,43.53
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:54:00 AM,4157628,40.61,43.53
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:55:00 AM,4157629,40.61,43.47
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:56:00 AM,4157630,40.62,43.42
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:57:00 AM,4157631,40.65,43.41
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:58:00 AM,4157632,40.65,43.40
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 07:59:00 AM,4157633,40.66,43.33
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 08:00:00 AM,4157634,40.67,43.29
